provider_id,state,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,readm_30_ami_hrrp_number_of_readmissions,readm_30_cabg_hrrp_number_of_readmissions,readm_30_copd_hrrp_number_of_readmissions,readm_30_hf_hrrp_number_of_readmissions,readm_30_hip_knee_hrrp_number_of_readmissions,readm_30_pn_hrrp_number_of_readmissions,readm_30_ami_hrrp_number_of_discharges,readm_30_cabg_hrrp_number_of_discharges,readm_30_copd_hrrp_number_of_discharges,readm_30_hf_hrrp_number_of_discharges,readm_30_hip_knee_hrrp_number_of_discharges,readm_30_pn_hrrp_number_of_discharges,readm_30_ami_hrrp_excess_readmission_ratio,readm_30_cabg_hrrp_excess_readmission_ratio,readm_30_copd_hrrp_excess_readmission_ratio,readm_30_hf_hrrp_excess_readmission_ratio,readm_30_hip_knee_hrrp_excess_readmission_ratio,readm_30_pn_hrrp_excess_readmission_ratio,readm_30_ami_hrrp_predicted_readmission_rate,readm_30_cabg_hrrp_predicted_readmission_rate,readm_30_copd_hrrp_predicted_readmission_rate,readm_30_hf_hrrp_predicted_readmission_rate,readm_30_hip_knee_hrrp_predicted_readmission_rate,readm_30_pn_hrrp_predicted_readmission_rate,readm_30_ami_hrrp_expected_readmission_rate,readm_30_cabg_hrrp_expected_readmission_rate,readm_30_copd_hrrp_expected_readmission_rate,readm_30_hf_hrrp_expected_readmission_rate,readm_30_hip_knee_hrrp_expected_readmission_rate,readm_30_pn_hrrp_expected_readmission_rate,value
10001,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,119.0,40.0,143.0,196.0,21.0,119.0,781.0,273.0,709.0,983.0,335.0,664.0,0.9837,1.0618,1.0455,0.9509,1.1198,1.0892,15.357999999999999,13.8887,19.7525,20.2502,5.6025,17.2654,15.6121,13.0809,18.8932,21.2964,5.0034,15.8507,0.999877
10005,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,0.0,,107.0,84.0,22.0,136.0,,,667.0,389.0,249.0,890.0,0.9905,,0.9014,1.0001,1.2776,0.9553,16.3958,,17.0536,21.5918,6.8669,15.5403,16.5529,,18.9196,21.5891,5.375,16.2681,0.9838379999999999
10006,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,49.0,21.0,128.0,154.0,20.0,153.0,356.0,134.0,713.0,804.0,378.0,892.0,0.9591,1.0648,0.9940000000000001,0.9436,1.0982,1.0426,14.4326,14.0381,18.0069,19.5895,4.8098,16.9133,15.0476,13.1837,18.1154,20.7614,4.3799,16.2224,0.9871059999999999
10007,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,,1.0,2.0,1.0,3.0,,,,21.0,18.0,,29.0,,,130.0,107.0,,200.0,,,0.996,0.9608,,1.0116,,,16.3468,19.0462,,14.2141,,,16.4118,19.8237,,14.050999999999998,1.0915270000000001
10008,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,,2.0,,2.0,3.0,,,,0.0,0.0,,0.0,,,,,,,,,0.9620000000000001,1.0559,,0.9349,,,15.7724,19.2152,,12.720999999999998,,,16.3947,18.1984,,13.6069,1.048925
10011,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,48.0,20.0,50.0,68.0,17.0,98.0,277.0,128.0,280.0,386.0,281.0,617.0,1.0611,1.0542,0.9713,0.8962,1.1338,0.9793,16.0942,14.1747,18.542,19.3386,5.1758,16.0565,15.1673,13.4464,19.0898,21.5774,4.565,16.3951,1.0188780000000002
10012,AL,Acute Care Hospitals,Proprietary,1,1,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,16.0,,31.0,42.0,,58.0,130.0,,212.0,183.0,,301.0,0.9497,,0.9634,1.0718,,1.1339,14.5701,,15.7316,20.6785,,17.1411,15.3426,,16.3285,19.2942,,15.1175,1.002975
10016,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,36.0,12.0,43.0,98.0,11.0,79.0,210.0,56.0,295.0,450.0,188.0,465.0,1.0659,1.1098,0.8979,0.9841,1.0941,0.9968,15.4033,14.9106,16.9503,21.9988,4.9173,17.0247,14.4505,13.4355,18.878,22.3537,4.4943,17.0789,1.0386600000000001
10018,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,108.0,85.0,12.0,89.0,,,492.0,395.0,386.0,512.0,,,1.1553,1.0225,0.8969,1.0674,,,20.0374,21.1765,3.6518,16.7346,,,17.344,20.7111,4.0716,15.6776,1.036255
